Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
ARQ,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2019,2663.80,1859.50,4331.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2018,2000.00,1000.00,3000.00,Kilogram,USA
ARQ,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2018,1100.00,700.00,1500.00,Kilogram,USA
ARQ,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2017,2100.00,1200.00,3000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2017,775.00,700.00,850.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Peru,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Wholesale,2016,750.00,700.00,800.00,Kilogram,USA
ARQ,Americas,South America,Peru,Cocaine-type,Cocaine,,Wholesale,2016,2000.00,1500.00,2500.00,Kilogram,USA
ARQ,Americas,South America,Uruguay,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2019,700.00,600.00,800.00,Unit,"National currency (not EUR, USD or CHF)"
ARQ,Americas,South America,Uruguay,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Wholesale,2018,7.00,5.00,10.00,Tablet,USA
ARQ,Americas,South America,Uruguay,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2018,23.00,17.00,25.00,Tablet,USA
ARQ,Americas,South America,Uruguay,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Wholesale,2017,7000.00,5000.00,10000.00,1000 tablets,USA
ARQ,Americas,South America,Uruguay,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2017,23.00,17.00,25.00,Tablet,USA
ARQ,Americas,South America,Uruguay,Amphetamine-type stimulants,“Ecstasy”-type substances,Tablets,Street,2016,23.00,17.00,25.00,Tablet,USA
